Text                     ,HR                       ,"Veloc, Vento",Pisc_scobert,Pisc_scobert_50m2,50m2_Ts_colect   ,PavCol_scobert,Pisc_ccobert_50m2
10.26875,87.8125,4.5,11.57828463,13.74577025,15.72358466,11.60974058,16.2895685
10.91875,85.3125,4.5,11.58098791,13.80304827,17.8477519,11.61207308,16.31119044
11.65625,82.8125,4.71875,11.58680043,13.82357039,16.3256704,11.61751342,16.29684001
12.40625,80.3125,4.96875,11.61616183,13.90582091,17.61051754,11.64649531,16.34291474
13.06875,77.8125,4.65,11.6499657,13.97971737,16.95014957,11.6799276,16.38140578
13.71875,75.3125,4.25,11.69843078,14.08430123,17.65638712,11.7280433,16.45257589
14.19375,73.6875,4.24375,11.7488114,14.18345743,17.28095104,11.77808616,16.51938523
14.64375,72.1875,4.29375,11.80443387,14.28920908,17.45107026,11.83226169,16.59298327
14.875,71.125,4.825,11.86027909,14.38839632,17.20410639,11.88835575,16.6591972
15.075,70.125,5.425,11.91284234,14.47219167,16.91349991,11.94236578,16.70827725
15.05625,70.4375,5.5875,11.96303852,14.54824796,16.72602108,11.99477486,16.74887482
15.00625,70.9375,5.6875,12.00086186,14.57306878,25.78805425,12.03523007,16.73816295
14.9125,71.4375,5.9625,12.03432197,14.59195476,25.52714218,12.0714148,16.7206077
14.8125,71.9375,6.2625,12.05245659,14.58599999,30.61058877,12.09206121,16.67864523
14.7125,72.4375,5.46875,12.06473627,14.57425828,26.89402184,12.10640274,16.63215061
14.6125,72.9375,4.51875,12.060023,14.54238722,17.74097156,12.10314672,16.56928353
14.425,73.4375,4.4875,12.0514013,14.50778388,16.90808661,12.09519237,16.50656679
14.225,73.9375,4.5875,12.03556014,14.46171768,14.225,12.0791828,16.43460204
14.025,74.875,4.775,12.01799647,14.41374954,14.025,12.06108705,16.36063827
13.825,75.875,4.975,11.99963294,14.36465419,13.825,12.04218517,16.28531322
13.5375,76.875,5.13125,11.97973097,14.31381033,13.5375,12.02174063,16.20810437
13.2375,77.875,5.28125,11.95754071,14.26058547,13.2375,11.99900554,16.12847268
12.98125,78.875,4.64375,11.933106,14.20657611,12.98125,11.97405197,16.04934091
12.73125,79.875,3.89375,11.90677616,14.15369776,12.73125,11.94725656,15.98442717
12.4375,80.875,3.66875,11.8786643,14.10098183,12.4375,11.91871275,15.95240306
12.1375,81.875,3.51875,11.84870454,14.04723789,12.1375,11.88833526,15.91961198
11.8375,83.3125,3.85,11.81692745,13.99152152,11.8375,11.85613742,15.88471141
11.5375,84.8125,4.25,11.78312805,13.93270745,11.5375,11.82189787,15.8461465
11.2375,85.875,4.08125,11.7473428,13.87197166,11.2375,11.7856733,15.805588
10.9375,86.875,3.83125,11.70988734,13.81070874,10.9375,11.74779853,15.76495585
10.76875,87.4375,3.5375,11.67160746,13.74978755,10.76875,11.70912039,15.72500575
10.61875,87.9375,3.2375,11.63195221,13.68712074,10.61875,11.66905988,15.68198857
10.3375,88.875,3.2,11.58756129,13.6157675,10.3375,11.62419098,15.62583149
10.0375,89.875,3.2,11.54272057,13.54591575,10.0375,11.57890716,15.57295464
9.7375,91.3125,2.89375,11.50044346,13.48418163,9.7375,11.53628681,15.53325949
9.4375,92.8125,2.54375,11.45786648,13.42348821,9.4375,11.49339024,15.49505236
9.18125,93.4375,2.45625,11.41453997,13.36288009,9.18125,11.44975884,15.45736813
8.93125,93.9375,2.40625,11.36989204,13.3012864,8.93125,11.40481182,15.41911392
8.725,94.875,2.26875,11.32450779,13.23944769,8.725,11.35913706,15.38090309
8.525,95.875,2.11875,11.27898211,13.17811105,8.525,11.31333219,15.3433671
8.4125,96.4375,2.40625,11.23246185,13.11556363,8.4125,11.26652965,15.30448647
8.3125,96.9375,2.75625,11.18398648,13.05011126,8.3125,11.21775526,15.26219888
8.3,97,3.5,11.13281163,12.9804368,8.3,11.1662536,15.21473532
8.3,97,4.3,11.07843481,12.90546346,8.3,11.11151226,15.16047657
8.475,96.5625,4.05,11.02448759,12.83067987,8.475,11.05719487,15.10548887
8.675,96.0625,3.65,10.9743417,12.7610855,8.675,11.00670325,15.05551184
9.225,94.25,3.73125,10.93080846,12.725816,15.7819153,10.96283442,15.03569281
